diode_frequency \g(r)\-(11) \g(r)\-(22) \g(r)\-(33) \g(r)\-(44) Re\g(s)\-(12) Im\g(s)\-(12) Re\g(s)\-(23) Im\g(s)\-(23) Re\g(s)\-(14) Im\g(s)\-(14) Re\g(s)\-(43) Im\g(s)\-(43) Re\g(s)\-(13) Im\g(s)\-(13) l\g(s)\-(13)l\+(2)\-(velho) l\g(s)\-(14)l\+(2)\-(velho) l\g(s)\-(13)l\+(2)\-(novo) l\g(s)\-(14)l\+(2)\-(novo)
MHz 
- rho11 rho22 rho33 rho44 Re_rho12 Im_rho12 Re_rho23 Im_rho23 Re_rho14 Im_rho14 Re_rho43 Im_rho43 Re_rho13 Im_rho13 rho13^2 rho14^2 rho13^2novo rho14^2novo
-122.000000 0.9904924933046358 0.0094815457027374 0.0000214225682868 0.0000045384243450 -0.0964223296947190 -0.0021724312377744 0.0000552830384732 0.0000251332387732 -0.0000000001548427 0.0000000005618881 -0.0000000000000652 0.0000000000030131 -0.0005273175543366 -0.0003845956711071 4.25978e-07 3.39694e-19 4.25978e-07 3.39694e-19
-120.000000 0.9901842990482101 0.0097881707172198 0.0000227295924647 0.0000048006421240 -0.0979368197779284 -0.0022532283941137 0.0000597629672720 0.0000127265197030 -0.0000000000850313 0.0000000005819032 -0.0000000000000297 0.0000000000031877 -0.0005641546037227 -0.0002616909382008 3.86753e-07 3.45842e-19 3.86753e-07 3.45842e-19
-118.000000 0.9898606809954084 0.0101100786542361 0.0000241572779474 0.0000050830723797 -0.0994997631581584 -0.0023420152979011 0.0000628404007968 -0.0000012260764255 -0.0000000000102194 0.0000000005932292 0.0000000000000108 0.0000000000033806 -0.0005857782103581 -0.0001274975056276 3.59392e-07 3.52025e-19 3.59392e-07 3.52025e-19
-116.000000 0.9895204723131331 0.0104484198640422 0.0000257201842206 0.0000053876385862 -0.1011140422759415 -0.0024393955674479 0.0000641764833940 -0.0000166562335853 0.0000000000686349 0.0000000005945775 0.0000000000000564 0.0000000000035944 -0.0005895403388698 0.0000166141568585 3.47834e-07 3.58233e-19 3.47834e-07 3.58233e-19
-114.000000 0.9891623865882336 0.0108044623373861 0.0000274345925388 0.0000057164818276 -0.1027827873193554 -0.0025459287089612 0.0000634078134251 -0.0000334335080323 0.0000000001502764 0.0000000005846953 0.0000000000001067 0.0000000000038317 -0.0005727634591184 0.0001687258921073 3.56526e-07 3.64452e-19 3.56526e-07 3.64452e-19
-112.000000 0.9887850061987103 0.0111796031912556 0.0000293186207399 0.0000060719893074 -0.1045093869821390 -0.0026621048110592 0.0000601545282434 -0.0000513525647648 0.0000000002331244 0.0000000005624218 0.0000000000001612 0.0000000000040955 -0.0005328334795081 0.0003263001162781 3.90383e-07 3.70665e-19 3.90383e-07 3.70665e-19
-110.000000 0.9883867705572826 0.0115753803010982 0.0000313923145667 0.0000064568270590 -0.1062974947997301 -0.0027883154097475 0.0000540322703251 -0.0000701199370356 0.0000000003152493 0.0000000005267595 0.0000000000002193 0.0000000000043891 -0.0004673204601243 0.0004861151781395 4.54696e-07 3.76858e-19 4.54696e-07 3.76858e-19
-108.000000 0.9879659646005907 0.0119934837178940 0.0000336777040093 0.0000068739775283 -0.1081510294018176 -0.0029248210168717 0.0000446688893024 -0.0000893410502468 0.0000000003943605 0.0000000004769596 0.0000000000002798 0.0000000000047159 -0.0003741305897619 0.0006442148785681 5.54987e-07 3.83011e-19 5.54987e-07 3.83011e-19
-106.000000 0.9875207080005127 0.0124357664052287 0.0000361988114348 0.0000073267828056 -0.1100741667955582 -0.0030717163228251 0.0000317267527222 -0.0001085086124599 0.0000000004678104 0.0000000004126233 0.0000000000003412 0.0000000000050796 -0.0002516920405954 0.0007958814580647 6.96776e-07 3.89105e-19 6.96776e-07 3.89105e-19
-104.000000 0.9870489456790422 0.0129042537292945 0.0000389815972377 0.0000078189944124 -0.1120713226442445 -0.0032288947836055 0.0000149314709547 -0.0001269939289086 0.0000000005326195 0.0000000003338180 0.0000000000004016 0.0000000000054841 -0.0000991756930314 0.0009356439235908 8.85265e-07 3.95118e-19 8.85265e-07 3.95118e-19
-102.000000 0.9865484402906238 0.0134011510495713 0.0000420538291318 0.0000083548306971 -0.1141471224967190 -0.0033960152106632 -0.0000058923604187 -0.0001440432505897 0.0000000005855320 0.0000000002412057 0.0000000000004585 0.0000000000059332 0.0000832509304286 0.0010573363541788 1.12489e-06 4.01028e-19 1.12489e-06 4.01028e-19
-100.000000 0.9860167673772621 0.0139288487156285 0.0000454448640636 0.0000089390430608 -0.1163063581449148 -0.0035724741154109 -0.0000307781995724 -0.0001587819073526 0.0000000006231088 0.0000000001361792 0.0000000000005091 0.0000000000064306 0.0002941422025542 0.0011542235725269 1.41875e-06 4.06809e-19 1.41875e-06 4.06809e-19
-98.000000 0.9854513138543205 0.0144899238146812 0.0000491853385647 0.0000095769924401 -0.1185539288603769 -0.0037573889113141 -0.0000595678628707 -0.0001702296714252 0.0000000006418679 0.0000000000209976 0.0000000000005500 0.0000000000069799 0.0005304768312612 0.0012192139076779 1.76789e-06 4.12435e-19 1.76789e-06 4.12435e-19
-96.000000 0.9848492802956227 0.0150871381904597 0.0000533067761958 0.0000102747377051 -0.1208947673376808 -0.0039495985964731 -0.0000918566467549 -0.0001773314794760 0.0000000006384799 -0.0000000001010902 0.0000000000005775 0.0000000000075842 0.0007873634763630 0.0012451800831841 2.17041e-06 4.17876e-19 2.17041e-06 4.17876e-19
-94.000000 0.9842076870786555 0.0157234326412367 0.0000578411421829 0.0000110391379193 -0.1233337519325695 -0.0041476901138228 -0.0001269363792767 -0.0001790081874560 0.0000000006100274 -0.0000000002257520 0.0000000000005878 0.0000000000082463 0.0010577790292568 0.0012254086230257 2.62052e-06 4.23097e-19 2.62052e-06 4.23097e-19
